,First Rand,Investec Group,MTN Group,Aveng Limited
2011-04-22,2009.3590087890625,3005.302001953125,14004.990234375,1537.7530517578125
2011-04-25,2009.3590087890625,3005.302001953125,14004.990234375,1537.7530517578125
2011-04-26,2050.0,3004.731201171875,14099.0,1515.29150390625
2011-04-27,2050.0,3004.731201171875,13995.0,1515.29150390625
2011-04-28,2060.0,3024.142333984375,14305.0,1503.19677734375
2011-04-29,2066.0,3038.415283203125,14599.0,1506.220458984375
2011-05-02,2066.0,3038.415283203125,14420.0,1506.220458984375
2011-05-03,2008.0,3003.018310546875,14296.0,1525.658447265625
2011-05-04,1972.0,2999.593017578125,14289.0,1518.315185546875
2011-05-05,1970.0,2983.036376953125,14340.0,1511.8359375
2011-05-06,2009.0,2997.30908203125,14200.0,1496.28564453125
2011-05-09,1993.0,2998.451171875,14190.0,1479.439453125
2011-05-10,2008.0,3068.673583984375,14150.0,1487.646484375
2011-05-11,1999.0,3082.946533203125,14040.0,1477.279541015625
2011-05-12,1970.0,3050.975341796875,13900.0,1457.841796875
2011-05-13,1980.0,3028.709716796875,13950.0,1494.5577392578125
2011-05-16,2008.0,3037.273193359375,14100.0,1466.4808349609375
2011-05-17,1985.0,3029.851318359375,13910.0,1481.5992431640625
2011-05-18,1985.7449951171875,3029.851318359375,13910.0,1481.5992431640625
2011-05-19,2001.0,3108.637939453125,14090.0,1471.664306640625
2011-05-20,1981.0,3168.583984375,13991.0,1440.5635986328125
2011-05-23,1941.0,3108.637939453125,13850.0,1459.569580078125
2011-05-24,2000.0,3146.88916015625,14175.0,1458.273681640625
2011-05-25,1975.0,3193.704345703125,14040.0,1462.1612548828125
2011-05-26,2000.0,3211.402587890625,14115.0,1472.9600830078125
2011-05-27,2021.0,3248.51220703125,14285.0,1481.167236328125
2011-05-30,2025.0,3221.1083984375,14200.0,1536.0252685546875
2011-05-31,2050.0,3254.221435546875,14475.0,1544.232421875
2011-06-01,2027.0,3228.5302734375,14400.0,1537.7530517578125
2011-06-02,2018.0,3222.821044921875,14369.0,1529.114013671875
2011-06-03,1980.0,3205.693603515625,14180.0,1518.315185546875
2011-06-06,1978.0,3190.849853515625,14080.0,1516.1553955078125
2011-06-07,1980.0,3208.548095703125,14150.0,1559.3507080078125
2011-06-08,1979.0,3155.452880859375,14230.0,1559.3507080078125
2011-06-09,1978.0,3179.431396484375,14106.0,1514.859619140625
2011-06-10,1949.0,3131.474609375,13942.0,1537.7530517578125
