,Target Corporation,Lowes companies Corporation
1973-10-25,0.24739600718021393,
1973-10-26,0.25260400772094727,
1973-10-29,0.24479199945926666,
1973-10-30,0.2421880066394806,
1973-10-31,0.24479199945926666,
1973-11-01,0.24479199945926666,
1973-11-02,0.24739600718021393,
1973-11-05,0.24479199945926666,
1973-11-06,0.23958300054073334,
1973-11-07,0.25260400772094727,
1973-11-08,0.26302099227905273,
1973-11-09,0.26041701436042786,
1973-11-12,0.25,
1973-11-13,0.22916699945926666,
1973-11-14,0.23697899281978607,
1973-11-15,0.2265630066394806,
1973-11-16,0.23177100718021393,
1973-11-19,0.22395800054073334,
1973-11-20,0.20572899281978607,
1973-11-21,0.22135399281978607,
1973-11-23,0.22395800054073334,
1973-11-26,0.2109380066394806,
1973-11-27,0.20833300054073334,
1973-11-28,0.21354199945926666,
