Time	Open	High	Low	Close	Volume
2019-01-14 04:00:00	77.735	77.752	77.565	77.676	19283
2019-01-14 08:00:00	77.677	77.851	77.624	77.774	34411
2019-01-14 12:00:00	77.774	78.094	77.686	78.046	36336
2019-01-14 16:00:00	78.047	78.055	77.862	77.886	25344
2019-01-14 20:00:00	77.885	77.946	77.772	77.92	18938
2019-01-15 00:00:00	77.921	78.333	77.904	78.293	27939
2019-01-15 04:00:00	78.299	78.493	78.21	78.41	21657
2019-01-15 08:00:00	78.411	78.518	77.959	78.017	40618
2019-01-15 12:00:00	78.017	78.282	77.873	78.163	48652
2019-01-15 16:00:00	78.166	78.225	77.811	78.097	40203
2019-01-15 20:00:00	78.101	78.311	78.074	78.301	18449
2019-01-16 00:00:00	78.302	78.304	77.908	78.1	28426
2019-01-16 04:00:00	78.101	78.305	78.043	78.282	20887
2019-01-16 08:00:00	78.281	78.305	77.907	78.027	28531
2019-01-16 12:00:00	78.025	78.217	77.986	78.164	32846
2019-01-16 16:00:00	78.162	78.272	78.106	78.191	29908
2019-01-16 20:00:00	78.193	78.376	78.134	78.204	22042
2019-01-17 00:00:00	78.204	78.204	77.925	78.099	27632
2019-01-17 04:00:00	78.099	78.131	77.777	77.867	23852
2019-01-17 08:00:00	77.866	78.069	77.759	78.065	26282
2019-01-17 12:00:00	78.066	78.095	77.862	78.038	36794
2019-01-17 16:00:00	78.038	78.977	78.031	78.656	30625
2019-01-17 20:00:00	78.657	78.706	78.39	78.468	24651
2019-01-18 00:00:00	78.47	78.798	78.466	78.641	31809
2019-01-18 04:00:00	78.64	78.75	78.59	78.612	19047
2019-01-18 08:00:00	78.612	78.751	78.563	78.728	24374
2019-01-18 12:00:00	78.728	79.102	78.583	78.794	43583
2019-01-18 16:00:00	78.797	78.818	78.612	78.685	29581
2019-01-18 20:00:00	78.685	78.712	78.588	78.603	9839
2019-01-20 20:00:00	78.589	78.651	78.537	78.561	9032
2019-01-21 00:00:00	78.562	78.712	78.286	78.56	26295
2019-01-21 04:00:00	78.559	78.632	78.489	78.577	16365
2019-01-21 08:00:00	78.576	78.607	78.394	78.429	18361
2019-01-21 12:00:00	78.428	78.492	78.284	78.425	18884
2019-01-21 16:00:00	78.424	78.507	78.404	78.487	24643
